nodes,run,backend,time_s
370,5,mongodb,0.001945
370,5,redis,0.001735
370,6,mongodb,0.002056
370,6,redis,0.001745
370,7,mongodb,0.001952
370,7,redis,0.001746
370,8,mongodb,0.001917
370,8,redis,0.001755
370,9,mongodb,0.001898
370,9,redis,0.001769
370,10,mongodb,0.001954
370,10,redis,0.001787
380,1,mongodb,0.001986
380,1,redis,0.001839
380,2,mongodb,0.001996
380,2,redis,0.001835
380,3,mongodb,0.001996
380,3,redis,0.001819
380,4,mongodb,0.001961
380,4,redis,0.001817
380,5,mongodb,0.001944
380,5,redis,0.001790
380,6,mongodb,0.001956
380,6,redis,0.001800
380,7,mongodb,0.001941
380,7,redis,0.001791
380,8,mongodb,0.001923
380,8,redis,0.001815
380,9,mongodb,0.002117
380,9,redis,0.001793
380,10,mongodb,0.001965
380,10,redis,0.001790
390,1,mongodb,0.002061
390,1,redis,0.001858
390,2,mongodb,0.002043
390,2,redis,0.001863
390,3,mongodb,0.002025
390,3,redis,0.001874
390,4,mongodb,0.002032
390,4,redis,0.001985
390,5,mongodb,0.001972
390,5,redis,0.001986
390,6,mongodb,0.001993
390,6,redis,0.002014
390,7,mongodb,0.001988
390,7,redis,0.002061
390,8,mongodb,0.001965
390,8,redis,0.002165
390,9,mongodb,0.001983
390,9,redis,0.002116
390,10,mongodb,0.001978
390,10,redis,0.002039
400,1,mongodb,0.002085
400,1,redis,0.002083
400,2,mongodb,0.002084
400,2,redis,0.002141
400,3,mongodb,0.002083
400,3,redis,0.002166
400,4,mongodb,0.002046
400,4,redis,0.002070
400,5,mongodb,0.002024
400,5,redis,0.002103
400,6,mongodb,0.002034
400,6,redis,0.002091
400,7,mongodb,0.002060
400,7,redis,0.002075
400,8,mongodb,0.002062
400,8,redis,0.002078
400,9,mongodb,0.002017
400,9,redis,0.002122
400,10,mongodb,0.002020
400,10,redis,0.002100
410,1,mongodb,0.002111
410,1,redis,0.002145
410,2,mongodb,0.002129
410,2,redis,0.002007
410,3,mongodb,0.002166
410,3,redis,0.002137
410,4,mongodb,0.002088
410,4,redis,0.002106
410,5,mongodb,0.002034
410,5,redis,0.002100
410,6,mongodb,0.002110
410,6,redis,0.002109
410,7,mongodb,0.002089
410,7,redis,0.002115
410,8,mongodb,0.002095
410,8,redis,0.002141
410,9,mongodb,0.002089
410,9,redis,0.002166
410,10,mongodb,0.002097
410,10,redis,0.002134
420,1,mongodb,0.002187
420,1,redis,0.002206
420,2,mongodb,0.002167
420,2,redis,0.002206
420,3,mongodb,0.002179
420,3,redis,0.002036
420,4,mongodb,0.002099
420,4,redis,0.002107
420,5,mongodb,0.002055
420,5,redis,0.002155
420,6,mongodb,0.002113
420,6,redis,0.001973
420,7,mongodb,0.002238
420,7,redis,0.001952
420,8,mongodb,0.002162
420,8,redis,0.001972
420,9,mongodb,0.002126
420,9,redis,0.002024
420,10,mongodb,0.002115
420,10,redis,0.001956
430,1,mongodb,0.002186
430,1,redis,0.002035
430,2,mongodb,0.002251
430,2,redis,0.001990
430,3,mongodb,0.002237
430,3,redis,0.002168
430,4,mongodb,0.002163
430,4,redis,0.002055
430,5,mongodb,0.002134
430,5,redis,0.001986
430,6,mongodb,0.002173
430,6,redis,0.002012
430,7,mongodb,0.002223
430,7,redis,0.002058
430,8,mongodb,0.002127
430,8,redis,0.002158
430,9,mongodb,0.002132
430,9,redis,0.002032
430,10,mongodb,0.002141
430,10,redis,0.002042
440,1,mongodb,0.002248
440,1,redis,0.002358
440,2,mongodb,0.002270
440,2,redis,0.002357
440,3,mongodb,0.002220
440,3,redis,0.002259
440,4,mongodb,0.002213
440,4,redis,0.002273
440,5,mongodb,0.002180
440,5,redis,0.002264
440,6,mongodb,0.002192
440,6,redis,0.002251
440,7,mongodb,0.002214
440,7,redis,0.002249
440,8,mongodb,0.002185
440,8,redis,0.002248
440,9,mongodb,0.002222
440,9,redis,0.002237
440,10,mongodb,0.002184
440,10,redis,0.002217
450,1,mongodb,0.002306
450,1,redis,0.002367
450,2,mongodb,0.002338
450,2,redis,0.002336
450,3,mongodb,0.002265
450,3,redis,0.002330
450,4,mongodb,0.002259
450,4,redis,0.002293
450,5,mongodb,0.002227
450,5,redis,0.002292
450,6,mongodb,0.002272
450,6,redis,0.002287
450,7,mongodb,0.002210
450,7,redis,0.002278
450,8,mongodb,0.002209
450,8,redis,0.002280
450,9,mongodb,0.002218
450,9,redis,0.002284
450,10,mongodb,0.002233
450,10,redis,0.002283
460,1,mongodb,0.002311
460,1,redis,0.002391
460,2,mongodb,0.002358
460,2,redis,0.002266
460,3,mongodb,0.002414
460,3,redis,0.002351
